;Id;TA_RULE;TA_COUNTER;TA_TOKEN;TA_LANGUAGE;TA_TYPE;TA_NORMALIZED;TA_STEM;TA_PARAGRAPH;TA_SENTENCE;TA_CREATED_AT;TA_OFFSET;TA_PARENT
238;805549420418859008;Entity Extraction;9;watch;en;Request;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;95;Error in reading value (type 4): rs.getBigInt(...) is null
411;805545048452513792;Entity Extraction;9;MAGA;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;79;Error in reading value (type 4): rs.getBigInt(...) is null
67;805550732762083328;Entity Extraction;9;MAGA;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;79;Error in reading value (type 4): rs.getBigInt(...) is null
707;805540766433112064;Entity Extraction;9;#malcomx;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
687;805541314427166720;Entity Extraction;9;1u;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;2;2;Mon, 05 Dec 2016 05:19:07 GMT;135;Error in reading value (type 4): rs.getBigInt(...) is null
675;805541363345461248;Entity Extraction;9;#malcomx;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
167;805549985353891845;Entity Extraction;9;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;98;Error in reading value (type 4): rs.getBigInt(...) is null
183;805548731135381504;Entity Extraction;9;https://t.co/2usNvWXfwX;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;117;Error in reading value (type 4): rs.getBigInt(...) is null
192;805547617744605184;Entity Extraction;9;https://t.co/p9B73XOzOb;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;104;Error in reading value (type 4): rs.getBigInt(...) is null
607;805540681963827200;Entity Extraction;9;#malcomx;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
54;805548441875136512;Entity Extraction;9;#VotePeacefully;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;4;Mon, 05 Dec 2016 05:19:06 GMT;125;Error in reading value (type 4): rs.getBigInt(...) is null
576;805540636640165888;Entity Extraction;9;MAGA;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;79;Error in reading value (type 4): rs.getBigInt(...) is null
249;805548912534847488;Entity Extraction;9;AuditTheVote;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;124;Error in reading value (type 4): rs.getBigInt(...) is null
487;805543213331312640;Entity Extraction;9;CyberSecurity;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;116;Error in reading value (type 4): rs.getBigInt(...) is null
310;805545663450808322;Entity Extraction;9;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;90;Error in reading value (type 4): rs.getBigInt(...) is null
